indicator_id,name,unit,timestamp
1.0.HCount.1.90usd,Poverty Headcount ($1.90 a day),,2025-11-24T12:05:52.123404
1.0.HCount.2.5usd,Poverty Headcount ($2.50 a day),,2025-11-24T12:05:52.123424
1.0.HCount.Mid10to50,Middle Class ($10-50 a day) Headcount,,2025-11-24T12:05:52.123426
1.0.HCount.Ofcl,Official Moderate Poverty Rate-National,,2025-11-24T12:05:52.123428
1.0.HCount.Poor4uds,Poverty Headcount ($4 a day),,2025-11-24T12:05:52.123431
1.0.HCount.Vul4to10,Vulnerable ($4-10 a day) Headcount,,2025-11-24T12:05:52.123432
1.0.PGap.1.90usd,Poverty Gap ($1.90 a day),,2025-11-24T12:05:52.123433
1.0.PGap.2.5usd,Poverty Gap ($2.50 a day),,2025-11-24T12:05:52.123438
1.0.PGap.Poor4uds,Poverty Gap ($4 a day),,2025-11-24T12:05:52.123452
1.0.PSev.1.90usd,Poverty Severity ($1.90 a day),,2025-11-24T12:05:52.123454
1.0.PSev.2.5usd,Poverty Severity ($2.50 a day),,2025-11-24T12:05:52.123455
1.0.PSev.Poor4uds,Poverty Severity ($4 a day),,2025-11-24T12:05:52.123457
1.1.HCount.1.90usd,Poverty Headcount ($1.90 a day)-Rural,,2025-11-24T12:05:52.123458
1.1.HCount.2.5usd,Poverty Headcount ($2.50 a day)-Rural,,2025-11-24T12:05:52.123458
1.1.HCount.Mid10to50,Middle Class ($10-50 a day) Headcount-Rural,,2025-11-24T12:05:52.123459
1.1.HCount.Ofcl,Official Moderate Poverty Rate- Rural,,2025-11-24T12:05:52.123460
1.1.HCount.Poor4uds,Poverty Headcount ($4 a day)-Rural,,2025-11-24T12:05:52.123461
1.1.HCount.Vul4to10,Vulnerable ($4-10 a day) Headcount-Rural,,2025-11-24T12:05:52.123462
1.1.PGap.1.90usd,Poverty Gap ($1.90 a day)-Rural,,2025-11-24T12:05:52.123463
1.1.PGap.2.5usd,Poverty Gap ($2.50 a day)-Rural,,2025-11-24T12:05:52.123466
